# shift_start=2026-07-19T22:00:00+00:00
# shift_end=2026-07-20T06:00:00+00:00
timestamp,plc_ip,plc_port,status,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,D100,D101,D102,D103,D104,D105,D300,D301,D302,D303,D310,D312,D313,D314,D315,D316,D317,D320,D321,D322,D323,D324,D325,D326,D327,D400,D401,D402,D403,D410,D411,D412,D413,D414,D415,D416,D417,D420,D421,D422,D423,D424,D425,D426,D427
2026-07-19T23:51:30.162408+00:00,192.168.1.10,5000,OK,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,120,RU,240,271,254,234,1000,205,0.0,2280,500,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1
2026-07-19T23:51:30.190940+00:00,192.168.1.10,5000,OK,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,120,RU,240,264,244,235,1000,214,0.0,2280,500,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1
2026-07-19T23:51:30.221564+00:00,192.168.1.10,5000,OK,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,120,RU,240,267,251,227,1000,210,0.0,2280,500,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1
2026-07-19T23:51:30.253017+00:00,192.168.1.10,5000,OK,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,120,RU,240,259,249,229,1000,212,0.0,2280,500,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1
2026-07-19T23:51:30.283573+00:00,192.168.1.10,5000,OK,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,120,RU,240,256,247,225,1000,214,0.0,2280,500,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1
2026-07-19T23:51:30.314404+00:00,192.168.1.10,5000,OK,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,120,RU,240,258,247,232,1000,214,0.0,2280,500,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1
2026-07-19T23:51:30.347466+00:00,192.168.1.10,5000,OK,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120,RU,240,260,236,229,1000,212,0.0,2280,500,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1
2026-07-19T23:51:30.378279+00:00,192.168.1.10,5000,OK,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,120,RU,240,251,235,223,1000,213,0.0,2280,500,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1
2026-07-19T23:51:30.409401+00:00,192.168.1.10,5000,OK,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120,RU,240,258,240,222,1000,216,0.0,2280,500,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1
2026-07-19T23:51:30.442078+00:00,192.168.1.10,5000,OK,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,120,RU,240,247,231,222,1000,219,0.0,2280,500,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3600,1,500,120,0.0,2280,120,600,3600,1
