# shift_start=2026-07-19T14:00:00+00:00
# shift_end=2026-07-19T22:00:00+00:00
timestamp,plc_ip,plc_port,status,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,D100,D101,D102,D103,D104,D105,D300,D301,D302,D303,D310,D311,D312,D313,D314,D315,D316,D317,D320,D321,D322,D323,D324,D325,D326,D327,D400,D401,D402,D403,D410,D411,D412,D413,D414,D415,D416,D417,D420,D421,D422,D423,D424,D425,D426,D427
2026-07-19T21:22:21.395382+00:00,192.168.1.10,5000,OK,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,235,RU,76244,1,200,199,1000,240,0.0,2280,500,120,0.0,2280,120,600,3601,1,500,120,0.0,2280,120,600,3601,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3601,1,500,120,0.0,2280,120,600,3601,1
2026-07-19T21:22:22.413620+00:00,192.168.1.10,5000,OK,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,ID,90324,1,221,236,1000,240,0.0,2280,500,120,0.0,2280,120,600,3602,1,500,120,0.0,2280,120,600,3602,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3602,1,500,120,0.0,2280,120,600,3602,1
2026-07-19T21:22:23.431511+00:00,192.168.1.10,5000,OK,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,235,ID,105191,1,315,334,1000,240,0.0,2280,500,120,0.0,2280,120,600,3603,1,500,120,0.0,2280,120,600,3603,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3603,1,500,120,0.0,2280,120,600,3603,1
2026-07-19T21:22:24.452725+00:00,192.168.1.10,5000,OK,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,339,PA,119709,1,447,479,1000,240,0.0,2280,500,120,0.0,2280,120,600,3604,1,500,120,0.0,2280,120,600,3604,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3604,1,500,120,0.0,2280,120,600,3604,1
2026-07-19T21:22:25.467896+00:00,192.168.1.10,5000,OK,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,476,PA,132375,2,597,629,1000,241,0.0,2280,500,121,0.0,2274,120,600,3605,1,500,120,0.0,2280,120,600,3605,1,1000,240,0.0,2280,500,120,0.0,2280,120,600,3605,1,500,120,0.0,2280,120,600,3605,1
2026-07-19T21:22:26.481495+00:00,192.168.1.10,5000,OK,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,631,WA,142169,2,726,736,1000,242,0.0,2274,500,121,0.0,2274,120,600,3606,1,500,121,0.0,2274,120,600,3606,1,1000,241,0.0,2280,500,120,0.0,2280,120,600,3606,1,500,121,0.0,2274,120,600,3606,1
2026-07-19T21:22:27.496687+00:00,192.168.1.10,5000,OK,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,746,WA,148210,2,796,796,1000,242,0.0,2274,500,121,0.0,2274,120,600,3607,1,500,121,0.0,2274,120,600,3607,1,1000,242,0.0,2274,500,121,0.0,2274,120,600,3607,1,500,121,0.0,2274,120,600,3607,1
2026-07-19T21:22:28.512131+00:00,192.168.1.10,5000,OK,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,795,ST,149942,2,788,776,1000,242,0.0,2274,500,121,0.0,2274,120,600,3608,1,500,121,0.0,2274,120,600,3608,1,1000,242,0.0,2274,500,121,0.0,2274,120,600,3608,1,500,121,0.0,2274,120,600,3608,1
2026-07-19T21:22:29.510779+00:00,192.168.1.10,5000,OK,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,779,ST,147286,2,711,691,1000,242,0.0,2274,500,121,0.0,2274,120,600,3609,1,500,121,0.0,2274,120,600,3609,1,1000,242,0.0,2274,500,121,0.0,2274,120,600,3609,1,500,121,0.0,2274,120,600,3609,1
2026-07-19T21:22:30.511900+00:00,192.168.1.10,5000,OK,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,700,ER,140340,2,591,561,1000,242,0.0,2274,500,121,0.0,2274,120,600,3610,1,500,121,0.0,2274,120,600,3610,1,1000,242,0.0,2274,500,121,0.0,2274,120,600,3610,1,500,121,0.0,2274,120,600,3610,1
2026-07-19T21:22:31.529682+00:00,192.168.1.10,5000,OK,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,566,ER,129725,1,447,418,1000,243,0.0,2274,500,122,0.0,2268,120,600,3611,1,500,121,0.0,2274,120,600,3611,1,1000,242,0.0,2274,500,121,0.0,2274,120,600,3611,1,500,121,0.0,2274,120,600,3611,1
2026-07-19T21:22:32.536077+00:00,192.168.1.10,5000,OK,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,415,RU,116492,1,312,289,1000,243,0.0,2274,500,122,0.0,2268,120,600,3612,1,500,121,0.0,2274,120,600,3612,1,1000,242,0.0,2274,500,121,0.0,2274,120,600,3612,1,500,121,0.0,2274,120,600,3612,1
2026-07-19T21:22:33.550530+00:00,192.168.1.10,5000,OK,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,285,RU,101898,1,224,216,1000,244,0.0,2268,500,122,0.0,2268,120,600,3613,1,500,122,0.0,2268,120,600,3613,1,1000,244,0.0,2268,500,122,0.0,2268,120,600,3613,1,500,122,0.0,2268,120,600,3613,1
2026-07-19T21:22:34.522905+00:00,192.168.1.10,5000,OK,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,207,ID,87026,1,201,210,1000,244,0.0,2268,500,122,0.0,2268,120,600,3614,1,500,122,0.0,2268,120,600,3614,1,1000,244,0.0,2268,500,122,0.0,2268,120,600,3614,1,500,122,0.0,2268,120,600,3614,1
2026-07-19T21:22:35.545414+00:00,192.168.1.10,5000,OK,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,ID,73338,1,259,272,1000,244,0.0,2268,500,122,0.0,2268,120,600,3615,1,500,122,0.0,2268,120,600,3615,1,1000,244,0.0,2268,500,122,0.0,2268,120,600,3615,1,500,122,0.0,2268,120,600,3615,1
2026-07-19T21:22:36.563382+00:00,192.168.1.10,5000,OK,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,277,PA,61971,0,370,396,1000,244,0.0,2268,500,122,0.0,2268,120,600,3616,1,500,122,0.0,2268,120,600,3616,1,1000,244,0.0,2268,500,122,0.0,2268,120,600,3616,1,500,122,0.0,2268,120,600,3616,1
2026-07-19T21:22:37.566133+00:00,192.168.1.10,5000,OK,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,398,PA,54068,0,512,543,1000,245,0.0,2268,500,123,0.0,2262,120,600,3617,1,500,122,0.0,2268,120,600,3617,1,1000,244,0.0,2268,500,122,0.0,2268,120,600,3617,1,500,122,0.0,2268,120,600,3617,1
2026-07-19T21:22:38.573847+00:00,192.168.1.10,5000,OK,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,548,WA,50341,0,653,676,1000,245,0.0,2268,500,123,0.0,2262,120,600,3618,1,500,122,0.0,2268,120,600,3618,1,1000,244,0.0,2268,500,122,0.0,2268,120,600,3618,1,500,122,0.0,2268,120,600,3618,1
2026-07-19T21:22:39.590098+00:00,192.168.1.10,5000,OK,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,683,WA,50885,0,760,777,1000,246,0.0,2262,500,123,0.0,2262,120,600,3619,1,500,123,0.0,2262,120,600,3619,1,1000,245,0.0,2268,500,122,0.0,2268,120,600,3619,1,500,123,0.0,2262,120,600,3619,1
2026-07-19T21:22:40.603691+00:00,192.168.1.10,5000,OK,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,769,ST,55915,0,796,795,1000,246,0.0,2262,500,123,0.0,2262,120,600,3620,1,500,123,0.0,2262,120,600,3620,1,1000,245,0.0,2268,500,122,0.0,2268,120,600,3620,1,500,123,0.0,2262,120,600,3620,1
