# shift_start=2026-07-21T14:00:00+00:00
# shift_end=2026-07-21T22:00:00+00:00
timestamp,plc_ip,plc_port,status,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,D100,D101,D102,D103,D104,D105,D300,D302,D303,D310,D312,D313,D314,D315,D316,D317,D320,D321,D322,D323,D324,D325,D326,D327,D400,D401,D402,D403,D410,D411,D412,D413,D414,D415,D416,D417,D420,D421,D422,D423,D424,D425,D426,D427
2026-07-21T18:18:55.751421+00:00,192.168.1.10,5000,OK,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,207,776,424,738,723,697,1000,0.0,1758,500,0.0,1758,120,644,3978,1,500,217,0.0,1698,120,600,4023,1,1000,394,0.0,1896,500,210,0.0,1740,120,632,3990,1,500,184,0.0,1896,265,600,3878,1
2026-07-21T18:23:55.136717+00:00,192.168.1.10,5000,OK,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,207,773,424,734,722,700,1000,0.0,1758,500,0.0,1758,120,644,3978,1,500,217,0.0,1698,120,600,4023,1,1000,394,0.0,1896,500,210,0.0,1740,120,632,3990,1,500,184,0.0,1896,265,600,3878,1
2026-07-21T18:23:55.168878+00:00,192.168.1.10,5000,OK,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,207,774,424,738,714,699,1000,0.0,1758,500,0.0,1758,120,644,3978,1,500,217,0.0,1698,120,600,4023,1,1000,394,0.0,1896,500,210,0.0,1740,120,632,3990,1,500,184,0.0,1896,265,600,3878,1
2026-07-21T18:23:55.198882+00:00,192.168.1.10,5000,OK,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,207,767,424,732,711,693,1000,0.0,1758,500,0.0,1758,120,644,3978,1,500,217,0.0,1698,120,600,4023,1,1000,394,0.0,1896,500,210,0.0,1740,120,632,3990,1,500,184,0.0,1896,265,600,3878,1
2026-07-21T18:23:55.230478+00:00,192.168.1.10,5000,OK,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,207,771,424,734,709,692,1000,0.0,1758,500,0.0,1758,120,644,3978,1,500,217,0.0,1698,120,600,4023,1,1000,394,0.0,1896,500,210,0.0,1740,120,632,3990,1,500,184,0.0,1896,265,600,3878,1
2026-07-21T18:23:55.261478+00:00,192.168.1.10,5000,OK,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,207,769,424,734,709,692,1000,0.0,1758,500,0.0,1758,120,644,3978,1,500,217,0.0,1698,120,600,4023,1,1000,394,0.0,1896,500,210,0.0,1740,120,632,3990,1,500,184,0.0,1896,265,600,3878,1
2026-07-21T18:23:55.281478+00:00,192.168.1.10,5000,OK,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,207,764,424,729,704,687,1000,0.0,1758,500,0.0,1758,120,644,3978,1,500,217,0.0,1698,120,600,4023,1,1000,394,0.0,1896,500,210,0.0,1740,120,632,3990,1,500,184,0.0,1896,265,600,3878,1
2026-07-21T18:23:55.307480+00:00,192.168.1.10,5000,OK,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,207,757,424,728,703,687,1000,0.0,1758,500,0.0,1758,120,644,3978,1,500,217,0.0,1698,120,600,4023,1,1000,394,0.0,1896,500,210,0.0,1740,120,632,3990,1,500,184,0.0,1896,265,600,3878,1
2026-07-21T18:23:55.338212+00:00,192.168.1.10,5000,OK,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,207,755,424,727,701,685,1000,0.0,1758,500,0.0,1758,120,644,3978,1,500,217,0.0,1698,120,600,4023,1,1000,394,0.0,1896,500,210,0.0,1740,120,632,3990,1,500,184,0.0,1896,265,600,3878,1
2026-07-21T18:23:55.370305+00:00,192.168.1.10,5000,OK,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,207,761,424,723,703,677,1000,0.0,1758,500,0.0,1758,120,644,3979,1,500,217,0.0,1698,120,600,4023,1,1000,394,0.0,1896,500,210,0.0,1740,120,632,3990,1,500,184,0.0,1896,265,600,3878,1
